"plasticity";"replications";"enviroment_type";"speciation";"extinction";"diversif";"traitevolution";"timesimulation";"abundance";"occupancy";"alive_spec"
0,25;1;"stable_fast";0;0;0;0,000165209802838248;89;36,25;0,413249211356467;8
0,25;1;"stable_fast";0;0;0;0,000126293901733378;90;39,375;0,43613707165109;8
0,25;1;"stable_fast";0;0;0;0,000414894245218521;91;41,25;0,421875;8
0,25;1;"stable_fast";0;0;0;0,00035269116488559;92;41,75;0,40952380952381;8
0,25;1;"stable_fast";0;0;0;0,000299851103430566;93;42,375;0,40251572327044;8
0,25;1;"stable_fast";0;0;0;0,000267048975520515;94;40,625;0,415902140672783;8
0,25;1;"stable_fast";0,125;0;0,125;0,00056377860199064;95;35,7777777777778;0,414634146341463;9
0,25;1;"stable_fast";0,222222222222222;0;0,222222222222222;0,00062843509760921;96;27,0909090909091;0,403726708074534;11
0,25;1;"stable_fast";0,0909090909090909;0;0,0909090909090909;0,00046490383950324;97;24,6666666666667;0,40809968847352;12
0,25;1;"stable_fast";0;0;0;0,000344012633218534;98;23,6666666666667;0,404458598726115;12
0,25;1;"stable_fast";0;0,166666666666667;-0,166666666666667;0,000263159206352585;99;25,8;0,4;10
0,25;1;"stable_fast";0;0;0;0,000418985845166698;100;24,5;0,367549668874172;10
0,25;1;"stable_fast";0;0;0;0,000241776980007085;101;22,2;0,393333333333333;10
0,25;1;"stable_fast";0;0;0;0,00038350590137598;102;20,1;0,36986301369863;10
0,25;1;"stable_fast";0;0;0;0,000295638604163975;103;22,7;0,377483443708609;10
0,25;1;"stable_fast";0;0;0;0,000287050388414179;104;19,5;0,36241610738255;10
0,25;1;"stable_fast";0;0;0;0,000218851622972116;105;20,1;0,382059800664452;10
0,25;1;"stable_fast";0;0;0;0,000391184334215714;106;18,7;0,373333333333333;10
0,25;1;"stable_fast";0;0;0;0,000383358901886883;107;19,7;0,353697749196141;10
0,25;1;"stable_fast";0;0;0;0,000245639668058215;108;18,6;0,393650793650794;10
0,25;1;"stable_fast";0;0;0;0,000360495677432262;109;16,4;0,373088685015291;10
0,25;1;"stable_fast";0;0;0;0,00026570420561522;110;17,4;0,341317365269461;10
0,25;1;"stable_fast";0,1;0;0,1;0,000388155233922483;111;15,0909090909091;0,364145658263305;11
0,25;1;"stable_fast";0;0;0;0,000326424278573289;112;12;0,35149863760218;11
0,25;1;"stable_fast";0;0;0;0,000427828788749294;113;13,0909090909091;0,319261213720317;11
0,25;1;"stable_fast";0;0;0;0,000385140935447435;114;10,5454545454545;0,338422391857506;11
0,25;1;"stable_fast";0;0;0;0,000557980270848198;115;9,90909090909091;0,335038363171355;11
0,25;1;"stable_fast";0,0909090909090909;0;0,0909090909090909;0,000270264745844399;116;7,83333333333333;0,341902313624679;12
0,25;1;"stable_fast";0;0;0;0,000851920796789777;117;6,08333333333333;0,329896907216495;12
0,25;1;"stable_fast";0;0;0;0,000529238413560693;118;3,91666666666667;0,304909560723514;12
0,25;1;"stable_fast";0;0,0833333333333333;-0,0833333333333333;0,000555581043032347;119;2,81818181818182;0,242966751918159;11
0,25;1;"stable_fast";0;0,181818181818182;-0,181818181818182;0,000997943839959135;120;2,66666666666667;0,229974160206718;9
0,25;1;"stable_fast";0;0,333333333333333;-0,333333333333333;0,000852019107766872;121;2,16666666666667;0,207692307692308;6
0,25;1;"stable_fast";0;0,333333333333333;-0,333333333333333;0,000711128912951523;122;3;0,162790697674419;4
0,25;1;"stable_fast";0;0;0;0,00127466124504484;123;3;0,15681233933162;4
0,25;1;"stable_fast";0;0,25;-0,25;0,000410140289132341;124;4,33333333333333;0,148825065274151;3
0,25;1;"stable_fast";0;0;0;0,000639554710777218;125;1;0,194225721784777;3
0,25;1;"stable_fast";0,333333333333333;0,333333333333333;0;0,00130064968331267;126;0,333333333333333;0,062992125984252;3
0,25;1;"stable_fast";0;0,666666666666667;-0,666666666666667;7,15861502100511e-05;127;1;0,0186666666666667;1
0,25;1;"stable_fast";0;0;0;0,00238815581681046;128;2;0,0268096514745308;1
0,25;1;"stable_fast";0;0;0;0,000493681062976102;129;0;0,0508021390374332;1
0,25;1;"stable_fast";0;1;-1;NA;130;NA;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
