"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timesimulation"
0,1;1;4,137;0,42;3,717;0,0023183240716606;831
0;0;0;0;0;0;0
0,1;1;5,033;0,445;4,588;0,0023183240716606;829
0;0;0;0;0;0;0
0,2;1;0,001;0;0,001;0,00231832366140381;999
0;0;0;0;0;0;0
0,2;1;0,001;0;0,001;0,00231832389280489;997
0;0;0;0;0;0;0
0,2;1;0,001;0;0,001;0,0023183210045045;995
0;0;0;0;0;0;0
0,2;1;0,011;0;0,011;0,00231834169313883;993
0;0;0;0;0;0;0
0,2;1;0,011;0;0,011;0,00231837235506829;991
0;0;0;0;0;0;0
0,2;1;0,011;0;0,011;0,00231844526537312;989
0;0;0;0;0;0;0
0,2;1;0,011;0;0,011;0,00231847573137739;987
0;0;0;0;0;0;0
0,2;1;0,011;0;0,011;0,00231854072124924;985
0;0;0;0;0;0;0
0,2;1;0,012;0;0,012;0,00231859908498888;983
0;0;0;0;0;0;0
0,2;1;0,016;0;0,016;0,00231871672540707;981
0;0;0;0;0;0;0
0,2;1;0,018;0;0,018;0,0023188241503916;979
0;0;0;0;0;0;0
0,2;1;0,021;0;0,021;0,00231890264186382;977
0;0;0;0;0;0;0
0,2;1;0,021;0;0,021;0,00231897945386285;975
0;0;0;0;0;0;0
0,2;1;0,021;0;0,021;0,00231905757431407;973
0;0;0;0;0;0;0
0,2;1;0,022;0;0,022;0,00231912666563606;971
0;0;0;0;0;0;0
0,2;1;0,022;0;0,022;0,00231919852994537;969
0;0;0;0;0;0;0
0,2;1;0,022;0,003;0,019;0,00231922464379264;967
0;0;0;0;0;0;0
0,2;1;0,025;0,003;0,022;0,0023192751372231;965
0;0;0;0;0;0;0
0,2;1;0,025;0,003;0,022;0,00231933573491425;963
0;0;0;0;0;0;0
0,2;1;0,045;0,003;0,042;0,00231937484491881;961
0;0;0;0;0;0;0
0,2;1;0,045;0,003;0,042;0,00231942078055434;959
0;0;0;0;0;0;0
0,2;1;0,05;0,003;0,047;0,00231947625775267;957
0;0;0;0;0;0;0
0,2;1;0,051;0,003;0,048;0,00231953539889996;955
0;0;0;0;0;0;0
0,2;1;0,053;0,003;0,05;0,00231958890141047;953
0;0;0;0;0;0;0
0,2;1;0,053;0,003;0,05;0,0023196513757822;951
0;0;0;0;0;0;0
0,2;1;0,054;0,005;0,049;0,00231972026800054;949
0;0;0;0;0;0;0
0,2;1;0,06;0,005;0,055;0,00231976903213772;947
0;0;0;0;0;0;0
0,2;1;0,064;0,008;0,056;0,00231980729546079;945
0;0;0;0;0;0;0
0,2;1;0,071;0,008;0,063;0,00231985540022229;943
0;0;0;0;0;0;0
0,2;1;0,078;0,008;0,07;0,00231989329157336;941
0;0;0;0;0;0;0
0,2;1;0,078;0,008;0,07;0,00231992539836253;939
0;0;0;0;0;0;0
0,2;1;0,078;0,008;0,07;0,00231995832225127;937
0;0;0;0;0;0;0
0,2;1;0,078;0,008;0,07;0,00231999028416598;935
0;0;0;0;0;0;0
0,2;1;0,078;0,008;0,07;0,00232002825692757;933
0;0;0;0;0;0;0
0,2;1;0,09;0,008;0,082;0,00232007643704629;931
0;0;0;0;0;0;0
0,2;1;0,108;0,008;0,1;0,00232014249892904;929
0;0;0;0;0;0;0
0,2;1;0,114;0,008;0,106;0,00232019407245742;927
0;0;0;0;0;0;0
0,2;1;0,116;0,008;0,108;0,00232024762478328;925
0;0;0;0;0;0;0
0,2;1;0,12;0,008;0,112;0,00232030681629948;923
0;0;0;0;0;0;0
0,2;1;0,13;0,008;0,122;0,002320369430696;921
0;0;0;0;0;0;0
0,2;1;0,139;0,012;0,127;0,0023204448586103;919
0;0;0;0;0;0;0
0,2;1;0,149;0,021;0,128;0,00232050412670061;917
0;0;0;0;0;0;0
0,2;1;0,159;0,031;0,128;0,00232053593325554;915
0;0;0;0;0;0;0
0,2;1;0,166;0,037;0,129;0,00232056030373974;913
0;0;0;0;0;0;0
0,2;1;0,241;0,038;0,203;0,00232058429475543;911
0;0;0;0;0;0;0
0,2;1;0,248;0,038;0,21;0,00232061400461975;909
0;0;0;0;0;0;0
0,2;1;0,284;0,038;0,246;0,00232064498251538;907
0;0;0;0;0;0;0
0,2;1;0,29;0,038;0,252;0,0023206786188237;905
0;0;0;0;0;0;0
0,2;1;0,296;0,04;0,256;0,0023207140873369;903
0;0;0;0;0;0;0
0,2;1;0,302;0,04;0,262;0,0023207533403576;901
0;0;0;0;0;0;0
0,2;1;0,32;0,043;0,277;0,00232079406428069;899
0;0;0;0;0;0;0
0,2;1;0,364;0,045;0,319;0,00232085147029196;897
0;0;0;0;0;0;0
0,2;1;0,392;0,047;0,345;0,00232091547387242;895
0;0;0;0;0;0;0
0,2;1;0,407;0,058;0,349;0,00232098130357509;893
0;0;0;0;0;0;0
0,2;1;0,43;0,059;0,371;0,00232104523764075;891
0;0;0;0;0;0;0
0,2;1;0,431;0,059;0,372;0,0023211114279349;889
0;0;0;0;0;0;0
0,2;1;0,433;0,059;0,374;0,00232117672474928;887
0;0;0;0;0;0;0
0,2;1;0,433;0,059;0,374;0,00232124200017915;885
0;0;0;0;0;0;0
0,2;1;0,444;0,06;0,384;0,00232131348308469;883
0;0;0;0;0;0;0
0,2;1;0,454;0,061;0,393;0,00232138601759111;881
0;0;0;0;0;0;0
0,2;1;0,512;0,063;0,449;0,00232145320284403;879
0;0;0;0;0;0;0
0,2;1;0,53;0,068;0,462;0,0023215100826785;877
0;0;0;0;0;0;0
0,2;1;0,548;0,073;0,475;0,00232156825177576;875
0;0;0;0;0;0;0
0,2;1;0,574;0,082;0,492;0,00232163245279762;873
0;0;0;0;0;0;0
0,2;1;0,596;0,087;0,509;0,00232169071000876;871
0;0;0;0;0;0;0
0,2;1;0,624;0,094;0,53;0,00232175429239699;869
0;0;0;0;0;0;0
0,2;1;0,656;0,1;0,556;0,00232182195852505;867
0;0;0;0;0;0;0
0,2;1;0,682;0,192;0,49;0,00232187965554492;865
0;0;0;0;0;0;0
0,2;1;0,701;0,222;0,479;0,0023219397748105;863
0;0;0;0;0;0;0
0,2;1;0,73;0,236;0,494;0,00232200847829557;861
0;0;0;0;0;0;0
0,2;1;0,814;0,25;0,564;0,00232207939461483;859
0;0;0;0;0;0;0
0,2;1;0,933;0,259;0,674;0,0023221433618791;857
0;0;0;0;0;0;0
0,2;1;0,974;0,263;0,711;0,00232221023157642;855
0;0;0;0;0;0;0
0,2;1;0,992;0,269;0,723;0,002322272970572;853
0;0;0;0;0;0;0
0,2;1;1,011;0,273;0,738;0,00232233454490152;851
0;0;0;0;0;0;0
0,2;1;1,05;0,282;0,768;0,00232240023688263;849
0;0;0;0;0;0;0
0,2;1;1,171;0,29;0,881;0,00232246644349572;847
0;0;0;0;0;0;0
0,2;1;1,338;0,293;1,045;0,00232252710471152;845
0;0;0;0;0;0;0
0,2;1;1,517;0,318;1,199;0,00232259920539049;843
0;0;0;0;0;0;0
0,2;1;1,638;0,324;1,314;0,00232266786746628;841
0;0;0;0;0;0;0
0,2;1;1,753;0,327;1,426;0,00232273648882142;839
0;0;0;0;0;0;0
0,2;1;1,831;0,329;1,502;0,00232280418530075;837
0;0;0;0;0;0;0
0,2;1;1,92;0,33;1,59;0,00232287387712738;835
0;0;0;0;0;0;0
0,2;1;2,055;0,331;1,724;0,00232294539006899;833
0;0;0;0;0;0;0
0,2;1;2,252;0,334;1,918;0,00232301035712448;831
0;0;0;0;0;0;0
0,2;1;2,549;0,344;2,205;0,00232308319600536;829
0;0;0;0;0;0;0
0,2;1;2,976;0,361;2,615;0,00232315537017985;827
0;0;0;0;0;0;0
0,2;1;3,567;0,395;3,172;0,00232322464470265;825
0;0;0;0;0;0;0
0,2;1;4,299;0,425;3,874;0,0023066806377519;823
0;0;0;0;0;0;0
