"plasticity";"replications";"speciation";"extinction";"diversif";"traitevolution";"timesimulation"
0,05;3;0,0879120879120879;0;0,0879120879120879;0,000456552304749412;94
0,05;3;0,037037037037037;0;0,037037037037037;0,000380888420003659;95
0,05;3;0,051948051948052;0,00324675324675325;0,0487012987012987;0,000387623921095895;96
0,05;3;0,043343653250774;0,0526315789473684;-0,00928792569659442;0,000326225646213048;97
0,05;3;0,0625;0;0,0625;0,000311714356729959;98
0,05;3;0,0382352941176471;0;0,0382352941176471;0,000349473802060456;99
0,05;3;0,0254957507082153;0;0,0254957507082153;0,0003311513247335;100
0,05;3;0,0828729281767956;0;0,0828729281767956;0,000398550420539271;101
0,05;3;0,0994897959183673;0,0076530612244898;0,0918367346938776;0,000424155489025838;102
0,05;3;0,0607476635514019;0;0,0607476635514019;0,000359989782286055;103
0,05;3;0,110132158590308;0;0,110132158590308;0,000426705507838916;104
0,05;3;0,0476190476190476;0,00198412698412698;0,0456349206349206;0,000350996854175578;105
0,05;3;0,0512333965844402;0;0,0512333965844402;0,000342591944869297;106
0,05;3;0,0703971119133574;0;0,0703971119133574;0,000353241482453928;107
0,05;3;0,0505902192242833;0,00168634064080944;0,0489038785834739;0,000394168307988805;108
0,05;3;0,0482315112540193;0;0,0482315112540193;0,000351880666711343;109
0,05;3;0,0628834355828221;0,00153374233128834;0,0613496932515337;0,000353656560768671;110
0,05;3;0,0708092485549133;0;0,0708092485549133;0,000344005820899857;111
0,05;3;0,0566801619433198;0;0,0566801619433198;0,000300259721256882;112
0,05;3;0,0600255427841635;0,00127713920817369;0,0587484035759898;0,000338319692970939;113
0,05;3;0,0892641737032569;0;0,0892641737032569;0,000361076186667974;114
0,05;3;0,0930232558139535;0,00332225913621262;0,0897009966777409;0,000378042889689071;115
0,05;3;0,132113821138211;0,00711382113821138;0,125;0,000429515863517463;116
0,05;3;0,0876242095754291;0,00813008130081301;0,0794941282746161;0,000396659943246385;117
0,05;3;0,122175732217573;0,00502092050209205;0,117154811715481;0,000470235401023763;118
0,05;3;0,0958801498127341;0,0052434456928839;0,0906367041198502;0,000454765250503864;119
0,05;3;0,0865384615384615;0,00480769230769231;0,0817307692307692;0,000426228498231533;120
0,05;3;0,0857142857142857;0,00507936507936508;0,0806349206349206;0,000413218419606139;121
0,05;3;0,0581668625146886;0,000587544065804935;0,0575793184488837;0,000379606411740562;122
0,05;3;0,0716666666666667;0,00388888888888889;0,0677777777777778;0,000424895067731098;123
0,05;3;0,0681581685744017;0,00260145681581686;0,0655567117585848;0,000420227384333167;124
0,05;3;0,08740234375;0,0029296875;0,08447265625;0,000446650537947453;125
0,05;3;0,0954524988743809;0,00540297163439892;0,090049527239982;0,000467207661764278;126
0,05;3;0,0499793473771169;0,00495662949194548;0,0450227178851714;0,000394183829864779;127
0,05;3;0,0644268774703557;0,00316205533596838;0,0612648221343874;0,000377937082329686;128
0,05;3;0,0554934823091248;0,00484171322160149;0,0506517690875233;0,000379955824820919;129
0,05;3;0,0701878766394895;0,00673520028358738;0,0634526763559022;0,000398979698816497;130
0,05;3;0,0676666666666667;0,00466666666666667;0,063;0,000384987514533578;131
