"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timesimulation"
0,9;1;15,47;7,92;7,55;0;123
0;0;0;0;0;0;0
0,9;1;15,93;8;7,93;0;121
0;0;0;0;0;0;0
0,9;1;16,52;8,12;8,4;0;119
0;0;0;0;0;0;0
0,9;1;17,41;8,3;9,11;0;117
0;0;0;0;0;0;0
0,9;1;18,25;8,56;9,69;0;115
0;0;0;0;0;0;0
0,9;1;18,99;8,87;10,12;0;113
0;0;0;0;0;0;0
0,9;1;19,85;9,24;10,61;0;111
0;0;0;0;0;0;0
0,9;1;20,61;9,69;10,92;0;109
0;0;0;0;0;0;0
0,9;1;21,56;10,25;11,31;0;107
0;0;0;0;0;0;0
0,9;1;22,59;11,21;11,38;0;105
0;0;0;0;0;0;0
0,9;1;23,44;12,18;11,26;0;103
0;0;0;0;0;0;0
0,9;1;24,04;14,7;9,34;0;101
0;0;0;0;0;0;0
0,9;1;24,32;15,77;8,55;0;99
0;0;0;0;0;0;0
0,9;1;24,56;16,26;8,3;0;97
0;0;0;0;0;0;0
0,9;1;25,03;16,66;8,37;0;95
0;0;0;0;0;0;0
0,9;1;25,6;17,07;8,53;0;93
0;0;0;0;0;0;0
0,9;1;26,05;17,57;8,48;0;91
0;0;0;0;0;0;0
0,9;1;26,41;18,12;8,29;0;89
0;0;0;0;0;0;0
0,9;1;26,63;18,73;7,9;0;87
0;0;0;0;0;0;0
0,9;1;26,83;19,27;7,56;0;85
0;0;0;0;0;0;0
0,9;1;27,01;19,75;7,26;0;83
0;0;0;0;0;0;0
0,9;1;27,12;20,11;7,01;0;81
0;0;0;0;0;0;0
0,9;1;27,36;20,49;6,87;0;79
0;0;0;0;0;0;0
0,9;1;27,45;20,77;6,68;0;77
0;0;0;0;0;0;0
0,9;1;27,67;20,86;6,81;0;75
0;0;0;0;0;0;0
0,9;1;27,82;20,89;6,93;0;73
0;0;0;0;0;0;0
0,9;1;28,14;20,95;7,19;0;71
0;0;0;0;0;0;0
0,9;1;28,53;20,98;7,55;0;69
0;0;0;0;0;0;0
0,9;1;29,13;21,06;8,07;0;67
0;0;0;0;0;0;0
0,9;1;29,73;21,16;8,57;0;65
0;0;0;0;0;0;0
0,9;1;30,54;21,32;9,22;0;63
0;0;0;0;0;0;0
0,9;1;31,28;21,56;9,72;0;61
0;0;0;0;0;0;0
0,9;1;32,07;21,92;10,15;0;59
0;0;0;0;0;0;0
0,9;1;32,93;22,37;10,56;0;57
0;0;0;0;0;0;0
0,9;1;33,72;22,94;10,78;0;55
0;0;0;0;0;0;0
0,9;1;34,44;23,57;10,87;0;53
0;0;0;0;0;0;0
0,9;1;35,11;24,4;10,71;0;51
0;0;0;0;0;0;0
0,9;1;35,42;27,03;8,39;0;49
0;0;0;0;0;0;0
0,9;1;35,49;27,56;7,93;0;47
0;0;0;0;0;0;0
0,9;1;35,77;27,86;7,91;0;45
0;0;0;0;0;0;0
0,9;1;36,17;28,2;7,97;0;43
0;0;0;0;0;0;0
0,9;1;36,71;28,63;8,08;0;41
0;0;0;0;0;0;0
0,9;1;37,09;29,03;8,06;0;39
0;0;0;0;0;0;0
0,9;1;37,48;29,51;7,97;0;37
0;0;0;0;0;0;0
0,9;1;37,66;30,18;7,48;0;35
0;0;0;0;0;0;0
0,9;1;37,78;30,64;7,14;0;33
0;0;0;0;0;0;0
0,9;1;37,84;30,99;6,85;0;31
0;0;0;0;0;0;0
0,9;1;37,94;31,37;6,57;0;29
0;0;0;0;0;0;0
0,9;1;37,97;31,71;6,26;0;27
0;0;0;0;0;0;0
0,9;1;38,01;31,83;6,18;0;25
0;0;0;0;0;0;0
0,9;1;38,17;31,86;6,31;0;23
0;0;0;0;0;0;0
0,9;1;38,41;31,85;6,56;0;21
0;0;0;0;0;0;0
0,9;1;38,63;31,9;6,73;0;19
0;0;0;0;0;0;0
0,9;1;38,9;31,95;6,95;0;17
0;0;0;0;0;0;0
0,9;1;39,38;32,04;7,34;0;15
0;0;0;0;0;0;0
0,9;1;39,93;32,19;7,74;0;13
0;0;0;0;0;0;0
0,9;1;40,46;32,36;8,1;0;11
0;0;0;0;0;0;0
0,9;1;40,99;32,56;8,43;0;9
0;0;0;0;0;0;0
0,9;1;41,62;32,84;8,77999999999999;0;7
0;0;0;0;0;0;0
0,9;1;42,25;33,15;9,1;0;5
0;0;0;0;0;0;0
0,9;1;42,99;33,6;9,39;0;3
0;0;0;0;0;0;0
0,9;1;43,52;34,17;9,35;0;1
0;0;0;0;0;0;0
1;1;0,5;0;0,5;0,33;299
0;0;0;0;0;0;0
1;1;0,25;0;0,25;0,16;297
0;0;0;0;0;0;0
1;1;0,17;0;0,17;0,11;295
0;0;0;0;0;0;0
1;1;1;0;1;0,08;293
0;0;0;0;0;0;0
1;1;0,9;0;0,9;0,06;291
0;0;0;0;0;0;0
1;1;0,75;0;0,75;0,05;289
0;0;0;0;0;0;0
1;1;0,64;0,07;0,57;0,05;287
0;0;0;0;0;0;0
1;1;0,56;0,06;0,5;0,04;285
0;0;0;0;0;0;0
1;1;0,56;0,06;0,5;0,04;283
0;0;0;0;0;0;0
1;1;0,6;0,1;0,5;0,03;281
0;0;0;0;0;0;0
1;1;0,59;0,09;0,5;0,03;279
0;0;0;0;0;0;0
1;1;0,54;0,08;0,46;0,03;277
0;0;0;0;0;0;0
1;1;0,5;0,08;0,42;0,02;275
0;0;0;0;0;0;0
1;1;0,46;0,07;0,39;0,02;273
