"plasticity";"replications";"enviroment_type";"speciation";"extinction";"diversif";"traitevolution";"timesimulation";"abundance";"occupancy"
0;10;"stable_low";0,0833333333333333;0;0,0833333333333333;0,000241475341622089;42;117,461538461538;0,965408805031447
0;10;"stable_low";1;0;1;0,00116547989895138;43;60,1923076923077;0,966360856269113
0;10;"stable_low";0;0;0;0,000298821996587523;44;60,6153846153846;0,966463414634146
0;10;"stable_low";0;0;0;0,000348204098116359;45;59,6153846153846;0,962732919254658
0;10;"stable_low";0;0;0;0,000374924947558852;46;59,3076923076923;0,965732087227414
0;10;"stable_low";0;0;0;0,000460378755734804;47;58,6153846153846;0,961783439490446
0;10;"stable_low";0;0;0;0,00040360022387755;48;58,3461538461538;0,964516129032258
0;10;"stable_low";0;0;0;0,000364282666584742;49;57,4230769230769;0,960264900662252
0;10;"stable_low";0,0384615384615385;0;0,0384615384615385;0,00044354998625811;50;54,8148148148148;0,963333333333333
0;10;"stable_low";0;0,037037037037037;-0,037037037037037;0,000608262732806268;51;55,5;0,958904109589041
0;10;"stable_low";0;0;0;0,000305889083777264;52;57,2307692307692;0,950331125827815
0;10;"stable_low";0;0;0;0,000485816190530508;53;57,0384615384615;0,939597315436242
0;10;"stable_low";0;0;0;0,00025008613864333;54;58,4230769230769;0,933554817275748
0;10;"stable_low";0;0;0;0,000502837391209543;55;58,7692307692308;0,94
0;10;"stable_low";0;0;0;0,000437582398226543;56;61,1923076923077;0,932475884244373
0;10;"stable_low";0,0769230769230769;0;0,0769230769230769;0,000410440289911882;57;57,5714285714286;0,93015873015873
0;10;"stable_low";0;0;0;0,000402985119865116;58;59,25;0,917431192660551
0;10;"stable_low";0,0714285714285714;0;0,0714285714285714;0,000278488716558278;59;56,6333333333333;0,925149700598802
0;10;"stable_low";0;0;0;0,000283396962973142;60;60,4666666666667;0,918767507002801
0;10;"stable_low";0,0666666666666667;0;0,0666666666666667;0,000309215830861975;61;59,4375;0,923705722070845
0;10;"stable_low";0;0;0;0,000242175368008285;62;62,1875;0,928759894459103
0;10;"stable_low";0;0;0;0,000273956831178657;63;66,1875;0,926208651399491
0;10;"stable_low";0;0;0;0,000234715221738738;64;69,21875;0,930946291560102
0;10;"stable_low";0;0;0;0,000170363531590183;65;72,84375;0,933161953727506
